Sample	Unique Reads	Duplicate Reads
B020.realigned	57746114.0	7463843.0
B024.realigned	62332982.0	7714192.0
B039.realigned	91442550.0	14951213.0
B047.realigned	51272156.0	6034486.0
B049.realigned	67876976.0	8375825.0
B072.realigned	37280027.0	3813917.0
B124.realigned	65014119.0	8502849.0
B141.realigned	41986081.0	6479740.0
B152.realigned	60568659.0	11872472.0
B155.realigned	43283854.0	6391684.0
B158.realigned	67565132.0	10230726.0
B164.realigned	74555475.0	9097714.0
B169.realigned	35927749.0	4984486.0
B173.realigned	55712264.0	6431322.0
CX104.realigned	70235421.0	8059217.0
CX11.realigned	88906744.0	12176952.0
CX110.realigned	86637608.0	11530051.0
CX112.realigned	94249858.0	14135872.0
CX117.realigned	82771976.0	9955321.0
CX220.realigned	93782568.0	15807063.0
CX280.realigned	62970575.0	9019967.0
CX284.realigned	67048897.0	11294280.0
CX307.realigned	85151568.0	12874816.0
CX329.realigned	63967378.0	9117290.0
CX364.realigned	91876715.0	13807619.0
CX366.realigned	72261311.0	10349431.0
CX367.realigned	80193599.0	12265805.0
CX368.realigned	55169687.0	6913239.0
CX372.realigned	40286223.0	4999808.0
CX379.realigned	40548702.0	4689778.0
CX392.realigned	76506746.0	10425980.0
CX4.realigned	81965023.0	10023552.0
CX46.realigned	35033574.0	3423127.0
CX49.realigned	37076433.0	4098789.0
CX55.realigned	42367073.0	5840717.0
CX578.realigned	97703798.0	15051055.0
CX90.realigned	72336616.0	8637291.0
IRIS_313-10067.realigned	43353084.0	4343629.0
IRIS_313-10096.realigned	43641380.0	4743192.0
IRIS_313-10113.realigned	48842113.0	4648845.0
IRIS_313-10191.realigned	39198923.0	3471382.0
IRIS_313-10430.realigned	49514091.0	6306979.0
IRIS_313-10444.realigned	47750012.0	5449976.0
IRIS_313-10484.realigned	59424867.0	7326447.0
IRIS_313-10509.realigned	66355953.0	9158415.0
IRIS_313-10522.realigned	40753165.0	4516819.0
IRIS_313-10527.realigned	43371752.0	4269167.0
IRIS_313-10549.realigned	51267250.0	7158267.0
IRIS_313-10558.realigned	39082675.0	4824049.0
IRIS_313-10585.realigned	52163136.0	7555555.0
IRIS_313-10587.realigned	49941897.0	5966684.0
IRIS_313-10595.realigned	43180781.0	6764249.0
IRIS_313-10598.realigned	56265199.0	7646888.0
IRIS_313-10603.realigned	106056195.0	20230239.0
IRIS_313-10604.realigned	49802017.0	7110768.0
IRIS_313-10620.realigned	57151564.0	5894887.0
IRIS_313-10662.realigned	39125285.0	5296804.0
IRIS_313-10673.realigned	39509497.0	3926824.0
IRIS_313-10695.realigned	44657176.0	4637925.0
IRIS_313-10703.realigned	61326736.0	8256359.0
IRIS_313-10733.realigned	62410257.0	6696320.0
IRIS_313-10738.realigned	50025951.0	7179563.0
IRIS_313-10746.realigned	39900179.0	4250187.0
IRIS_313-10771.realigned	63255497.0	7055801.0
IRIS_313-10795.realigned	56742142.0	7763065.0
IRIS_313-10812.realigned	58800869.0	6208906.0
IRIS_313-10817.realigned	60031503.0	8031419.0
IRIS_313-10830.realigned	42518606.0	4655537.0
IRIS_313-10831.realigned	60899788.0	6051084.0
IRIS_313-10850.realigned	120171242.0	20823541.0
IRIS_313-10868.realigned	40454703.0	4710638.0
IRIS_313-10877.realigned	34079628.0	2733408.0
IRIS_313-10896.realigned	38459599.0	3597611.0
IRIS_313-10925.realigned	46185342.0	4640629.0
IRIS_313-10926.realigned	43691493.0	5837192.0
IRIS_313-10927.realigned	76617970.0	8958223.0
IRIS_313-10933.realigned	51145350.0	5834465.0
IRIS_313-10948.realigned	69692697.0	7465361.0
IRIS_313-10950.realigned	46481145.0	4778378.0
IRIS_313-10958.realigned	48053146.0	6061206.0
IRIS_313-10964.realigned	24152924.0	2277515.0
IRIS_313-10969.realigned	49872787.0	4880041.0
IRIS_313-10987.realigned	54606877.0	5042420.0
IRIS_313-11021.realigned	58414984.0	6142183.0
IRIS_313-11022.realigned	45407932.0	5647798.0
IRIS_313-11023.realigned	47018172.0	5194537.0
IRIS_313-11028.realigned	45455071.0	4425739.0
IRIS_313-11037.realigned	91306739.0	12908077.0
IRIS_313-11052.realigned	114532347.0	21664204.0
IRIS_313-11055.realigned	82543535.0	9869185.0
IRIS_313-11062.realigned	83736385.0	10969497.0
IRIS_313-11066.realigned	90680166.0	17121650.0
IRIS_313-11068.realigned	47209140.0	5068892.0
IRIS_313-11069.realigned	47336048.0	4891785.0
IRIS_313-11070.realigned	33199167.0	2599644.0
IRIS_313-11075.realigned	47892023.0	6237230.0
IRIS_313-11076.realigned	62595776.0	6268320.0
IRIS_313-11093.realigned	36557411.0	3945862.0
IRIS_313-11112.realigned	106656507.0	15255534.0
IRIS_313-11125.realigned	30559462.0	2424299.0
IRIS_313-11136.realigned	38634447.0	4136569.0
IRIS_313-11141.realigned	44363570.0	4541269.0
IRIS_313-11164.realigned	37177855.0	3353903.0
IRIS_313-11168.realigned	18556350.0	1083247.0
IRIS_313-11171.realigned	39350216.0	3732483.0
IRIS_313-11175.realigned	40214627.0	3493386.0
IRIS_313-11191.realigned	112828897.0	18460338.0
IRIS_313-11218.realigned	59271355.0	6523827.0
IRIS_313-11257.realigned	125328827.0	26403780.0
IRIS_313-11258.realigned	114397991.0	23760603.0
IRIS_313-11259.realigned	19378588.0	2240346.0
IRIS_313-11268.realigned	46953101.0	7134530.0
IRIS_313-11272.realigned	55987873.0	6205964.0
IRIS_313-11293.realigned	38342394.0	4252774.0
IRIS_313-11350.realigned	65440450.0	8536339.0
IRIS_313-11352.realigned	44194155.0	5789495.0
IRIS_313-11356.realigned	56338045.0	7025152.0
IRIS_313-11362.realigned	47106086.0	5384601.0
IRIS_313-11364.realigned	42901715.0	5598858.0
IRIS_313-11380.realigned	36576624.0	4189050.0
IRIS_313-11401.realigned	40630068.0	4711886.0
IRIS_313-11413.realigned	60371361.0	4672855.0
IRIS_313-11417.realigned	35830863.0	3400963.0
IRIS_313-11425.realigned	35393810.0	3158513.0
IRIS_313-11483.realigned	74038292.0	7448185.0
IRIS_313-11530.realigned	80201078.0	9354071.0
IRIS_313-11544.realigned	53812045.0	5653511.0
IRIS_313-11619.realigned	53284749.0	5038213.0
IRIS_313-11625.realigned	61511807.0	7272880.0
IRIS_313-11626.realigned	70816655.0	8995114.0
IRIS_313-11630.realigned	66682286.0	8322879.0
IRIS_313-11647.realigned	71108581.0	10084790.0
IRIS_313-11672.realigned	40492331.0	4137411.0
IRIS_313-11679.realigned	66194663.0	6123520.0
IRIS_313-11693.realigned	86781525.0	9717452.0
IRIS_313-11825.realigned	139740390.0	28857510.0
IRIS_313-11897.realigned	61457802.0	8746015.0
IRIS_313-11923.realigned	45824252.0	4974030.0
IRIS_313-11956.realigned	30900179.0	2702803.0
IRIS_313-11958.realigned	55777702.0	6185007.0
IRIS_313-11982.realigned	47257008.0	3554509.0
IRIS_313-12002.realigned	49572560.0	4433743.0
