Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content	per_tile_sequence_quality
B020.realigned	B020.realigned.bam	Conventional base calls	Sanger / Illumina 1.9	65209957.0	0.0	30-83	44.0	88.55413586959877	81.88389757717522	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass	pass	
B024.realigned	B024.realigned.bam	Conventional base calls	Sanger / Illumina 1.9	70047174.0	0.0	30-83	43.0	88.98714733859208	81.8501239464707	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass	
B039.realigned	B039.realigned.bam	Conventional base calls	Sanger / Illumina 1.9	106393763.0	0.0	30-83	44.0	85.9472841871553	81.86750234597868	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass	
B047.realigned	B047.realigned.bam	Conventional base calls	Sanger / Illumina 1.9	57306642.0	0.0	30-83	44.0	89.4698306350896	81.94379087855121	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass	
B049.realigned	B049.realigned.bam	Conventional base calls	Sanger / Illumina 1.9	76252801.0	0.0	30-83	44.0	89.01571426666463	81.86417104861499	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass	
B072.realigned	B072.realigned.bam	Conventional base calls	Sanger / Illumina 1.9	41093944.0	0.0	30-83	43.0	90.7190286983957	81.8510652080511	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass	
B124.realigned	B124.realigned.bam	Conventional base calls	Sanger / Illumina 1.9	73516968.0	0.0	30-83	45.0	88.43416684148167	81.95720011195239	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass	
B141.realigned	B141.realigned.bam	Conventional base calls	Sanger / Illumina 1.9	48465821.0	0.0	30-83	44.0	86.6302874087058	81.89068444749961	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass	pass	
B152.realigned	B152.realigned.bam	Conventional base calls	Sanger / Illumina 1.9	72441131.0	0.0	30-83	43.0	83.6108687119043	81.9518444845926	pass	pass	pass	warn	warn	pass	warn	pass	pass	pass	pass	
B155.realigned	B155.realigned.bam	Conventional base calls	Sanger / Illumina 1.9	49675538.0	0.0	30-83	43.0	87.1331349793522	81.85879271201854	pass	pass	pass	pass	warn	pass	warn	pass	pass	pass	pass	
