Module	Section	Sample Name	Source
FastQC	all_sections	IRIS_313-11112.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11112.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-10603.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-10603.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11364.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11364.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11897.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11897.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11218.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11218.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-10509.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-10509.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11168.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11168.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11141.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11141.realigned_fastqc.zip
FastQC	all_sections	B124.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/B124.realigned_fastqc.zip
FastQC	all_sections	B049.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/B049.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-12002.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-12002.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-8283.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-8283.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11544.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11544.realigned_fastqc.zip
FastQC	all_sections	B155.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/B155.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-9368.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-9368.realigned_fastqc.zip
FastQC	all_sections	CX117.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/CX117.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-8066.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-8066.realigned_fastqc.zip
FastQC	all_sections	CX392.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/CX392.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11625.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11625.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-9682.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-9682.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-8195.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-8195.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-10933.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-10933.realigned_fastqc.zip
FastQC	all_sections	CX46.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/CX46.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11021.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11021.realigned_fastqc.zip
FastQC	all_sections	B158.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/B158.realigned_fastqc.zip
FastQC	all_sections	CX367.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/CX367.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-10958.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-10958.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-7690.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-7690.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11257.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11257.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-12004.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-12004.realigned_fastqc.zip
FastQC	all_sections	B024.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/B024.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-8399.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-8399.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-9789.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-9789.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11136.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11136.realigned_fastqc.zip
FastQC	all_sections	CX307.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/CX307.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-10817.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-10817.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11380.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11380.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11068.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11068.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-10067.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-10067.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-12347.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-12347.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11417.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11417.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11362.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11362.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-9140.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-9140.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-10877.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-10877.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-10703.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-10703.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11075.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11075.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-12030.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-12030.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11268.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11268.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-9926.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-9926.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11401.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11401.realigned_fastqc.zip
FastQC	all_sections	CX90.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/CX90.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11272.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11272.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11483.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11483.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-9522.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-9522.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-10662.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-10662.realigned_fastqc.zip
FastQC	all_sections	CX329.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/CX329.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-9648.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-9648.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-8025.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-8025.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-10673.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-10673.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-8721.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-8721.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-8656.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-8656.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11191.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11191.realigned_fastqc.zip
FastQC	all_sections	CX578.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/CX578.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-10746.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-10746.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-11356.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-11356.realigned_fastqc.zip
FastQC	all_sections	IRIS_313-12012.realigned	/N/slate/sialsaff/code4Rice3K/bamfiledir/IRIS_313-12012.realigned_fastqc.zip
