Group,ADM,,,ARO,,,AUS,,,IND,,,JAP,,
gene,piN,piS,piN.piS,piN,piS,piN.piS,piN,piS,piN.piS,piN,piS,piN.piS,piN,piS,piN.piS
gene-LOC107275246,0.003569770383695,0.004118800143395,0.8667015294294,7.53759374882225E-05,NA,NA,0.002886106429699,0.004318401772082,0.668327446593174,0.003408350697288,0.002440930017933,1.39633282078848,0.000847114714246,0.00115861601056,0.731143628713181
gene-LOC107275249,0.001450596857578,0.004190243445065,0.346184386801363,0.000666784474086,0.002105164185689,0.316737515590689,0.001790867938881,NA,NA,0.000851257100379,0.002498551690867,0.340700215845458,0.001463153394974,0.003638229552367,0.402160824080596
gene-LOC107275258,0.001218499985609,0.003934194239425,0.309720342071128,0.001331330251485,0.001700210042902,0.783038693979792,0.001146762849793,NA,NA,0.001815791688683,NA,NA,0.001314685253395,0.004214531352894,0.311941030523339
gene-LOC107275263,0.000106916912093,NA,0.501356311569406,0.000190424287983,NA,0.322725460939681,0.001571276240429,0.001389165221292,1.13109385143381,0.000190424287983,NA,0.294602242200652,2.14929735887176E-05,NA,0.032748525442706
gene-LOC107275287,0.003241295077541,0.003884791326557,0.834355002644064,0,0.002031229468705,0,0,NA,0,0.006655392581402,0.007338272013223,0.906942747476559,0.000268833722502,0.001064342341553,0.252582004874346
gene-LOC107275306,0.001964330775969,0.008898008880779,0.220760712007383,0.001612503002633,0.007583145617522,0.212643022297628,0.000912304709773,0.001843526952956,0.494869200751553,0.000528152006423,0.001614947261493,0.327039785766744,0.002090582386341,0.007628853648406,0.274036242231223
gene-LOC107275326,0.001977378221281,0.005985685145981,0.330351191727659,0.00128430393071,NA,NA,0.000603900486673,NA,0.893899857220224,0.000748065710526,0.001942558839907,0.385092948104298,0.002218579369677,0.00518504770036,0.427880223652114
gene-LOC107275327,0.002142250479472,0.003555431114126,0.602529035356855,0.000493222190888,NA,NA,0.001628743410615,NA,NA,0.001190469223302,0.002793866328376,0.426100995316275,0.002956857652229,0.002266350227785,1.30467816314474
gene-LOC107275335,0.003869092676487,0.030432294553847,0.127137724355322,0.00193332534453,0.003304540990077,0.585051100995752,0.00169928846893,0.016576155971915,0.102514025073679,0.001639098595589,0.024289650013801,0.067481359124484,0.003258644778021,0.023375092654156,0.139406710648556
gene-LOC107275337,7.69658357206997E-05,0.00341141054006,0.022561293874452,0.000413071862597,0.002277331900232,0.181384128749478,0.000402341613034,0.003034979752291,0.13256813747439,5.06662558513843E-05,NA,0.053908317629741,0,0.004287323835744,0
gene-LOC107275362,0.00045642229724,0.004085320122912,0.111722529326376,0.00053563495835,NA,NA,0.000379068599958,NA,0.991743053168461,3.62367149466693E-05,0.005180541264866,0.006994773923031,0.00058529429503,NA,0.899727608004618
gene-LOC107275370,0.001158431404918,0.002280445576344,0.50798467498395,0.000598509108765,0.001572183519614,0.380686542822727,0.000232978103484,NA,0.372799182511383,0.000525703291617,NA,1.12003393084184,0.001559876659525,0.002762671805673,0.564626118933744
