Chr, Length,ADM,,,,ARO,,,,AUS,,,,IND,,,,JAP,,,
,,Total,Genes,Exons,CDS,Total,Genes,Exons,CDS,Total,Genes,Exons,CDS,Total,Genes,Exons,CDS,Total,Genes,Exons,CDS
chr01,"43,270,923","898,996","246,183","115,286","56,189","536,701","147,563","69,605","35,028","776,882","209,316","98,876","48,342","860,657","231,067","108,942","53,000","556,757","168,651","90,584","54,567"
chr02,"35,937,250","726,072","194,927","93,380","44,689","485,409","130,762","62,275","29,843","609,204","163,901","78,374","37,513","682,616","184,862","88,275","42,107","352,512","108,100","62,597","39,111"
chr03,"36,413,819","679,215","159,011","69,063","30,399","505,664","114,696","49,874","21,832","584,908","135,893","59,059","25,720","597,596","138,591","61,035","26,514","361,689","93,061","51,373","33,158"
chr04,"35,502,694","875,302","211,303","101,760","51,662","583,878","138,179","66,544","33,915","644,524","156,277","76,573","38,848","798,620","194,153","93,251","47,239","484,810","125,982","67,450","41,346"
chr05,"29,958,434","624,354","121,301","57,135","25,493","418,656","81,657","38,344","17,343","523,305","97,884","47,299","21,127","575,075","104,182","49,355","21,947","330,579","69,450","38,327","23,027"
chr06,"31,248,787","790,319","189,425","88,273","42,463","573,801","133,699","61,373","30,102","605,081","142,887","66,036","31,640","642,094","147,804","68,766","32,625","448,614","110,093","56,397","32,357"
chr07,"29,697,621","706,876","158,426","75,491","38,209","513,875","112,255","52,622","26,614","593,031","130,948","61,974","31,380","624,549","141,508","68,093","34,604","413,987","100,559","52,497","31,675"
chr08,"28,443,022","745,107","156,821","72,699","34,527","533,880","111,074","51,790","24,714","566,079","116,574","54,193","25,533","698,423","148,498","69,457","33,130","428,756","92,344","45,184","24,580"
chr09,"23,012,720","604,296","132,615","60,102","29,686","387,773","82,378","37,231","18,264","482,887","108,273","49,395","24,706","511,575","111,972","51,754","25,927","259,664","58,933","30,428","18,155"
chr10,"23,207,287","626,544","139,189","62,556","29,663","466,315","104,993","47,456","22,959","441,231","101,607","47,304","23,193","525,853","116,459","53,463","25,501","414,663","94,241","45,137","24,597"
chr11,"29,021,106","924,377","256,453","131,896","70,427","592,908","162,820","83,526","44,546","722,504","199,411","102,223","54,534","763,660","210,274","109,127","58,414","537,176","156,082","83,119","47,244"
chr12,"27,531,856","698,926","143,735","70,595","33,493","530,944","110,313","53,526","25,638","608,386","131,580","64,434","30,959","678,920","141,933","69,716","32,972","404,807","81,134","41,832","23,363"
Total,"373,245,519","8,900,384","2,109,389","998,236","486,900","6,129,804","1,430,389","674,166","330,798","7,158,022","1,694,551","805,740","393,495","7,959,638","1,871,303","891,234","433,980","4,994,014","1,258,630","664,925","393,180"
